,Make,Model,Variant,Displacement,Cylinders,Fuel_Tank_Capacity,Mileage,Power,Kerb_Weight,Comfort,Safety,Price
818,Land Rover Rover,Range Evoque Convertible,2.0 Hse Dynamic,1998.0,4,49.30086207,15.7,236.64,2013.0,121.63709540182309,29.0,6952964
819,Land Rover Rover,Range Velar,2.0 Diesel R-Dynamic S,1999.0,4,49.30086207,15.7,176.494,990.467868338558,107.69788342329191,29.0,7246802
820,Land Rover Rover,Range Velar,2.0 Petrol R-Dynamic S,1997.0,4,65.0,12.63,246.5,990.467868338558,103.69788342329191,29.0,7246802
821,Maruti Suzuki,Mercedes-Benz E-Class All Terrain,E 220D,1950.0,6,80.0,12.06,194.0,990.467868338558,146.88194150282516,27.0,7500000
822,Volvo,Xc90,D5 Inscription,1969.0,4,68.0,17.2,221.85,2962.0,157.86509919707262,27.0,8790000
823,Volvo,Xc90,D5 Momentum,1969.0,4,68.0,17.2,221.85,2910.0,160.86509919707262,27.0,8090000
824,Volvo,Xc90,T8 Excellence,1969.0,4,68.0,19.90211704,401.302,2910.0,159.74009919707262,27.0,13124000
825,Volvo,Xc90,T8 Inscription,1969.0,4,68.0,17.2,320.0,2962.0,157.21206115050816,27.0,9665000
826,Volvo,Xc90,D5 R-Design,1969.0,4,68.0,17.2,235.0,2962.0,157.86509919707262,27.0,8491500
827,Land Rover Rover,Range Sport,5.0L V8 Svr Petrol,4999.0,8,49.30086207,19.90211704,567.0,2310.0,149.77922159292095,24.0,20517853
828,Land Rover Rover,Range Sport,2.0L S Petrol,1997.0,8,105.0,19.90211704,296.0,2083.0,127.52872914380735,29.0,8670586
829,Land Rover Rover,Range Sport,2.0L Se Petrol,1997.0,8,105.0,19.90211704,296.0,2083.0,127.52872914380735,29.0,9448181
830,Land Rover Rover,Range Sport,3.0L V6 Se Petrol,2995.0,6,85.0,19.90211704,335.0,2134.0,128.00141550468186,29.0,11476911
831,Land Rover Rover,Range Sport,2.0L Hse Petrol,1997.0,8,105.0,19.90211704,296.0,2687.0,139.52872914380737,29.0,15600000
832,Land Rover Rover,Range Sport,3.0L V6 Hse Petrol,2995.0,6,85.0,19.90211704,335.0,2134.0,122.00141550468184,29.0,13228725
833,Land Rover Rover,Range Sport,5.0L V8 Autobiography Dynamic Petrol,4999.0,8,49.30086207,19.90211704,518.0,990.467868338558,149.77872914380737,27.0,17940227
834,Land Rover Rover,Range Sport,3.0L Tdv6 S Diesel,2993.0,6,80.0,19.90211704,254.0,2134.0,130.67049557282496,27.0,10373732
835,Land Rover Rover,Range Sport,3.0L Tdv6 Se Diesel,2993.0,6,80.0,19.90211704,254.0,2134.0,128.67049557282496,26.0,11913021
836,Land Rover Rover,Range Sport,4.4L Sdv8 Hse Diesel,4367.0,8,105.0,11.5,335.0,2443.0,149.52872914380737,27.0,14908985
837,Jaguar,Xj,3.0L,2993.0,6,82.0,12.9,270.164,1871.0,156.91974755351737,29.0,9738609
838,Jaguar,Xj,3.0L Portfolio,2993.0,6,83.0,12.9,270.164,1871.0,156.91974755351737,29.0,10725145
839,Jaguar,Xj,50,2993.0,6,82.0,12.9,302.0,1860.0,156.8009895767366,29.0,11129599
