,Make,Model,Variant,Price,Engine_Size_in_cc,Fuel_Type,Fuel_Tank_Capacity,Mileage,Power,Comfort,Safety
110,Tata,Bolt,Xm Petrol,590268,1193.0,Petrol,44.0,17.57,88.74,31.6249542101717,21.0
111,Tata,Bolt,Xms Petrol,614515,1193.0,Petrol,44.0,17.57,88.74,31.6249542101717,27.0
112,Hyundai,Xcent Prime,Cng T + (Cng +,556130,1197.0,CNG + Petrol,43.0,19.90211704,81.838,19.4168070311825,20.0
113,Hyundai,Xcent Prime,T,536859,1197.0,Petrol,43.0,15.7,81.838,8.9168070311825,17.0
114,Hyundai,Xcent Prime,T+,556130,1197.0,Petrol,43.0,19.90211704,81.838,19.4168070311825,20.0
115,Hyundai,Xcent Prime,Cng T (Cng +,536859,1197.0,CNG + Petrol,43.0,19.90211704,81.8,19.4168070311825,20.0
116,Hyundai,Xcent Prime,T+ Crdi,639616,1197.0,Diesel,43.0,20.14,70.0,10.4168070311825,22.0
117,Hyundai,Xcent Prime,T Crdi,620297,1197.0,Diesel,43.0,20.0,70.006,10.4168070311825,22.0
118,Maruti Suzuki,Dzire Tour,Ldi,653523,1248.0,Diesel,42.0,28.4,73.95,19.30902093194643,18.0
119,Maruti Suzuki,Dzire Tour,Lxi,553423,1197.0,Petrol,42.0,22.0,81.838,17.803342340237176,17.0
120,Maruti Suzuki,Dzire Tour,Lxi Cng,598940,1197.0,CNG,42.0,19.90211704,69.0,17.803342340237176,17.0
121,Hyundai,Elite I20,Era 1.2,559693,1197.0,Petrol,45.0,18.6,82.824,19.266071798964834,27.0
122,Hyundai,Elite I20,Era 1.4 Crdi,697803,1396.0,Diesel,45.0,22.54,88.74,19.27521197307856,27.0
123,Hyundai,Elite I20,Magna Plus,634950,1197.0,Petrol,45.0,18.6,82.824,37.775211973078555,27.0
124,Hyundai,Elite I20,Magna Plus Crdi,770803,1396.0,Diesel,45.0,22.54,88.74,37.775211973078555,27.0
125,Hyundai,Elite I20,Sportz Plus,721693,1197.0,Petrol,45.0,18.6,82.824,43.775211973078555,27.0
126,Hyundai,Elite I20,Sportz Plus Crdi Dual Tone,876103,1396.0,Diesel,45.0,22.54,88.74,43.775211973078555,27.0
127,Hyundai,Elite I20,Asta (O) 1.2,808993,1197.0,Petrol,45.0,18.15,82.824,43.77685347012387,45.0
128,Hyundai,Elite I20,Asta (O) Crdi,934003,1396.0,Diesel,45.0,22.54,88.74,43.775211973078555,45.0
129,Hyundai,Elite I20,Asta (O) Cvt,920993,1197.0,Petrol,45.0,18.6,81.838,43.775211973078555,23.5
130,Hyundai,Elite I20,Sportz Plus Dual Tone,751693,1197.0,Petrol,45.0,18.6,82.824,43.775211973078555,27.0
131,Hyundai,Elite I20,Sportz Plus Cvt,831693,1197.0,Petrol,45.0,18.6,82.824,43.775211973078555,27.0
132,Hyundai,Elite I20,Sportz Plus Crdi,846103,1396.0,Diesel,45.0,22.54,88.74,43.775211973078555,27.0
133,Hyundai,Aura,E 1.2 Petrol,579900,1197.0,Petrol,37.0,20.5,81.838,25.402111836222748,23.0
134,Hyundai,Aura,S 1.2 Petrol,655900,1197.0,Petrol,37.0,20.5,81.838,34.402111836222744,24.0
135,Hyundai,Aura,S 1.2 Amt Petrol,705800,1197.0,Petrol,37.0,20.1,81.838,34.402111836222744,24.0
136,Hyundai,Aura,Sx 1.2 Petrol,729900,1197.0,Petrol,37.0,20.5,81.838,38.902111836222744,27.0
137,Hyundai,Aura,Sx Plus 1.2 Amt Petrol,804800,1197.0,Petrol,37.0,20.1,81.838,47.902111836222744,27.0
138,Hyundai,Aura,Sx (O) 1.2 Petrol,785900,1197.0,Petrol,37.0,20.5,81.838,50.902111836222744,25.5
139,Hyundai,Aura,S 1.2 Cng Petrol (Cng +,728900,1197.0,CNG + Petrol,37.0,20.5,68.034,34.402111836222744,24.0
140,Hyundai,Aura,Sx Plus 1.0 Petrol,854900,998.0,Petrol,37.0,20.5,98.6,47.902111836222744,27.0
141,Hyundai,Aura,S 1.2 Diesel,773800,1186.0,Diesel,37.0,25.35,73.95,34.402111836222744,24.0
142,Hyundai,Aura,S 1.2 Amt Diesel,823700,1186.0,Diesel,37.0,20.4,73.95,34.402111836222744,24.0
143,Hyundai,Aura,Sx Plus 1.2 Amt Diesel,922700,1186.0,Diesel,37.0,25.4,73.95,47.902111836222744,27.0
144,Hyundai,Aura,Sx (O) 1.2 Diesel,903800,1186.0,Diesel,37.0,25.35,73.95,50.902111836222744,27.0
145,Volkswagen,Polo,Trendline 1.0L (P),582000,999.0,Petrol,45.0,18.78,74.936,20.24245535006733,22.0
146,Volkswagen,Polo,Comfortline 1.0 (P),676500,999.0,Petrol,45.0,18.78,74.936,32.74245535006733,23.5
147,Volkswagen,Polo,Highline Plus 1.0 (P),776500,999.0,Petrol,45.0,18.78,74.936,46.74245535006733,25.0
148,Volkswagen,Polo,Trendline 1.5L (D),734500,1498.0,Diesel,45.0,20.14,88.74,20.24245535006733,22.0
149,Volkswagen,Polo,Comfortline 1.5 (D),851500,1498.0,Diesel,45.0,20.14,88.74,31.74245535006733,25.0
150,Volkswagen,Polo,Highline Plus 1.5 (D),931500,1498.0,Diesel,45.0,20.14,88.74,46.74245535006733,27.0
